Layer;category;techno;latitude;longitude;operator;capacite_gwh_year;site_info;operational_status;co2_injection_potential_tpy;municipality;eiffel;eiffel_project_name;capacity_kt_per_year
Offtake;Food processing;Vegetable raw material processing;52,78630943;8,638188115;Mühle für Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Twistringen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,78367615;20,13136864;Zachodniopomorskie Mleko Sp. z o.o. - Instalacja suszarnicza;N/A;Capacity: >200 tonnes/day;Operational;200;Raci??;0;N/A;N/A
Offtake;Food processing;Milk processing;52,78271866;20,12999725;POLMLEK RACI?? Sp. z o.o. - hala produkcyjna;N/A;Capacity: >200 tonnes/day;Operational;200;Raci??;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,78246044;7,992798195;Mischfutterwerk;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Lastrup;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,7810902;9,221188464;Fertigung von Konfitüren und Fruchtfüllungen;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Eystrup;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,77801206;7,272888273;Futtermittelwerk;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Haren;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,77749252;20,09746933;Wytwórnia Pasz CEDROB PASZE Raci?? - Linie granulacji;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Raci??;0;N/A;N/A
Offtake;Food processing;Milk processing;52,771124;18,266296;CUIAVIA OKR?GOWA SPÓ?DZIELNIA MLECZARSKA W      INOWROC?AWIU - PRTR 2019 INSTALLATION;N/A;Capacity: >200 tonnes/day;Operational;200;Inowroc?aw;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,76975636;7,271510336;Anlage zum Schlachten und Zerlegen von Tieren (Hähnchen);N/A;Capacity: >50 tonnes carcass/day;Operational;500;Haren;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,76975636;7,271510336;Anlage zum Schlachten und Zerlegen von Tieren (Hähnchen);N/A;Capacity: >50 tonnes carcass/day;Operational;500;Haren (Ems), Stadt;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,76975636;7,271510336;Weiterverarbeitung;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Haren;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,76975636;7,271510336;Weiterverarbeitung;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Haren (Ems), Stadt;0;N/A;N/A
Offtake;Food processing;Milk processing;52,76529;4,88229;FrieslandCampina Cheese Lutjewinkel;N/A;Capacity: >200 tonnes/day;Operational;200;Lutjewinkel;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,76347;6,91006;Milling Company Europe B.V.;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Emmen;0;N/A;N/A
Offtake;Food processing;Milk processing;52,75705;23,17274;Mlekovita Sp. z o.o.   - instalacja PRTR - main - dodane w resubmission 2018;N/A;Capacity: >200 tonnes/day;Operational;200;Bielsk Podlaski;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,752441;-6,529789;Pilgrim's Food Masters Ireland Limited ;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Wicklow;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,75233459;18,39588928;ZAK?ADY MI?SNE VIANDO SPÓ?KA Z OGRANICZON? ODPOWIEDZIALNO?CI? SPÓ?KA KOMANDYTOWA - UBÓJ;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Radojewice;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,75233459;18,39588928;ZAK?ADY MI?SNE VIANDO SPÓ?KA Z OGRANICZON? ODPOWIEDZIALNO?CI? SPÓ?KA KOMANDYTOWA - PRZETWÓRSTWO;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Radojewice;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,74250031;17,33361244;De Heus Sp. z o.o. - Wytwórnia Pasz w Mie?cisku - Silosy;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Mie?cisko;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,73785771;8,128703014;Mischfutterwerk;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Bakum;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,73691494;9,189639564;Mühle für Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Schweringen;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,73602735;7,748413985;Kartoffelfabrik;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Löningen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,73544691;8,185417528;Anlage zum Schlachten von Tieren;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Bakum;0;N/A;N/A
